0.00	1.00
0.10	0.99
0.21	0.98
0.31	0.95
0.42	0.91
0.52	0.87
0.63	0.81
0.73	0.74
0.84	0.67
0.94	0.59
1.05	0.50
1.15	0.41
1.26	0.31
1.36	0.21
1.47	0.10
1.57	0.00
1.68	-0.10
1.78	-0.21
1.88	-0.31
1.99	-0.41
2.09	-0.50
2.20	-0.59
2.30	-0.67
2.41	-0.74
2.51	-0.81
2.62	-0.87
2.72	-0.91
2.83	-0.95
2.93	-0.98
3.04	-0.99
3.14	-1.00
3.25	-0.99
3.35	-0.98
3.46	-0.95
3.56	-0.91
3.67	-0.87
3.77	-0.81
3.87	-0.74
3.98	-0.67
4.08	-0.59
4.19	-0.50
4.29	-0.41
4.40	-0.31
4.50	-0.21
4.61	-0.10
4.71	-0.00
4.82	0.10
4.92	0.21
5.03	0.31
5.13	0.41
5.24	0.50
5.34	0.59
5.45	0.67
5.55	0.74
5.65	0.81
5.76	0.87
5.86	0.91
5.97	0.95
6.07	0.98
6.18	0.99
