0.00	0.00
0.10	0.10
0.21	0.21
0.31	0.31
0.42	0.41
0.52	0.50
0.63	0.59
0.73	0.67
0.84	0.74
0.94	0.81
1.05	0.87
1.15	0.91
1.26	0.95
1.36	0.98
1.47	0.99
1.57	1.00
1.68	0.99
1.78	0.98
1.88	0.95
1.99	0.91
2.09	0.87
2.20	0.81
2.30	0.74
2.41	0.67
2.51	0.59
2.62	0.50
2.72	0.41
2.83	0.31
2.93	0.21
3.04	0.10
3.14	0.00
3.25	-0.10
3.35	-0.21
3.46	-0.31
3.56	-0.41
3.67	-0.50
3.77	-0.59
3.87	-0.67
3.98	-0.74
4.08	-0.81
4.19	-0.87
4.29	-0.91
4.40	-0.95
4.50	-0.98
4.61	-0.99
4.71	-1.00
4.82	-0.99
4.92	-0.98
5.03	-0.95
5.13	-0.91
5.24	-0.87
5.34	-0.81
5.45	-0.74
5.55	-0.67
5.65	-0.59
5.76	-0.50
5.86	-0.41
5.97	-0.31
6.07	-0.21
6.18	-0.10
